City,State,Latitude,Longitude
Byrnihat,Assam,#N/A,#N/A
Guwahati,Assam,#N/A,#N/A
Nagaon,Assam,#N/A,#N/A
Nalbari,Assam,#N/A,#N/A
Silchar,Assam,#N/A,#N/A
Sivasagar,Assam,#N/A,#N/A
Manguraha,Bihar,#N/A,#N/A
Patna,Bihar,#N/A,#N/A
Hajipur,Bihar,#N/A,#N/A
Gaya,Bihar,#N/A,#N/A
Muzaffarpur,Bihar,#N/A,#N/A
Bettiah,Bihar,#N/A,#N/A
Motihari,Bihar,#N/A,#N/A
Bihar Sharif,Bihar,#N/A,#N/A
Sasaram,Bihar,#N/A,#N/A
Rajgir,Bihar,#N/A,#N/A
Munger,Bihar,#N/A,#N/A
Arrah,Bihar,#N/A,#N/A
Araria,Bihar,#N/A,#N/A
Begusarai,Bihar,#N/A,#N/A
Bhagalpur,Bihar,#N/A,#N/A
Aurangabad,Bihar,#N/A,#N/A
Chhapra,Bihar,#N/A,#N/A
Katihar,Bihar,#N/A,#N/A
Kishanganj,Bihar,#N/A,#N/A
Purnia,Bihar,#N/A,#N/A
Saharsa,Bihar,#N/A,#N/A
Samastipur,Bihar,#N/A,#N/A
Siwan,Bihar,#N/A,#N/A
Chandigarh,Chandigarh,#N/A,#N/A
Bhilai,Chhattisgarh,#N/A,#N/A
Raipur,Chhattisgarh,#N/A,#N/A
Korba,Chhattisgarh,#N/A,#N/A
Chhal,Chhattisgarh,#N/A,#N/A
Tumidih,Chhattisgarh,#N/A,#N/A
Delhi,Delhi,#N/A,#N/A
Ahmedabad,Gujarat,#N/A,#N/A
Ankleshwar,Gujarat,#N/A,#N/A
Gandhinagar,Gujarat,#N/A,#N/A
Vapi,Gujarat,#N/A,#N/A
Sirsa,Haryana,#N/A,#N/A
Manesar,Haryana,#N/A,#N/A
Sonipat,Haryana,#N/A,#N/A
Dharuhera,Haryana,#N/A,#N/A
Bahadurgarh,Haryana,#N/A,#N/A
Yamuna Nagar,Haryana,#N/A,#N/A
Bhiwani,Haryana,#N/A,#N/A
Karnal,Haryana,#N/A,#N/A
Palwal ,Haryana,#N/A,#N/A
Ambala,Haryana,#N/A,#N/A
Narnaul,Haryana,#N/A,#N/A
Fatehabad,Haryana,#N/A,#N/A
Mandikhera,Haryana,#N/A,#N/A
Jind,Haryana,#N/A,#N/A
Hisar,Haryana,#N/A,#N/A
Ballabgarh,Haryana,#N/A,#N/A
Kaithal,Haryana,#N/A,#N/A
Faridabad,Haryana,#N/A,#N/A
Gurugram,Haryana,#N/A,#N/A
Baddi,Himachal Pradesh,#N/A,#N/A
Srinagar,Jammu and Kashmir,#N/A,#N/A
Dhanbad,Jharkhand,#N/A,#N/A
Shivamogga,Karnataka,#N/A,#N/A
Hubballi,Karnataka,#N/A,#N/A
Kolar,Karnataka,#N/A,#N/A
Bengaluru,Karnataka,#N/A,#N/A
Chikkaballapur,Karnataka,#N/A,#N/A
Kalaburagi,Karnataka,#N/A,#N/A
Mysuru,Karnataka,#N/A,#N/A
Yadgir,Karnataka,#N/A,#N/A
Ramanagara,Karnataka,#N/A,#N/A
Vijayapura,Karnataka,#N/A,#N/A
Madikeri,Karnataka,#N/A,#N/A
Raichur,Karnataka,#N/A,#N/A
Koppal,Karnataka,#N/A,#N/A
Gadag,Karnataka,#N/A,#N/A
Haveri,Karnataka,#N/A,#N/A
Mangalore,Karnataka,#N/A,#N/A
Davanagere,Karnataka,#N/A,#N/A
Belgaum,Karnataka,#N/A,#N/A
Dharwad,Karnataka,#N/A,#N/A
