City,State,Latitude,Longitude
Byrnihat,Assam,26.0543348,91.8696498
Guwahati,Assam,26.1805978,86.4309638
Nagaon,Assam,26.3313646,86.9746587
Nalbari,Assam,26.3533631,78.8216861
Silchar,Assam,24.830302,81.7804732
Sivasagar,Assam,26.9834936,81.7804732
Manguraha,Bihar,26.3583278,78.8216861
Patna,Bihar,25.6093239,78.4604956
Hajipur,Bihar,25.6905702,84.7514507
Gaya,Bihar,24.679389,76.770421
Muzaffarpur,Bihar,26.1482548,78.8216861
Bettiah,Bihar,26.8023,77.590082
Motihari,Bihar,26.6506888,78.8216861
Bihar Sharif,Bihar,25.193859,75.3390241
Sasaram,Bihar,24.9509656,72.8991697
Rajgir,Bihar,25.0299973,76.7674001
Munger,Bihar,25.2202864,76.6821985
Arrah,Bihar,25.560317,84.6632139
Araria,Bihar,26.2651013,87.3699437
Begusarai,Bihar,25.5125411,75.3390241
Bhagalpur,Bihar,25.2861354,86.7308825
Aurangabad,Bihar,19.877263,75.3390241
Chhapra,Bihar,25.7784105,84.7514507
Katihar,Bihar,25.5586421,76.7697439
Kishanganj,Bihar,26.2984144,78.1573628
Purnia,Bihar,25.7758723,85.050728
Saharsa,Bihar,25.8330757,73.8241077
Samastipur,Bihar,25.7747884,93.709712
Siwan,Bihar,26.131008,81.7804732
Chandigarh,Chandigarh,0,77.3592238
Bhilai,Chhattisgarh,21.2120677,81.3732849
Raipur,Chhattisgarh,21.2380912,78.8216861
Korba,Chhattisgarh,22.5198217,78.8216861
Chhal,Chhattisgarh,31.1164614,76.7674001
Tumidih,Chhattisgarh,0,78.4604956
Delhi,Delhi,0,72.9945103
Ahmedabad,Gujarat,23.0215374,72.5800568
Ankleshwar,Gujarat,21.6293206,74.639
Gandhinagar,Gujarat,23.2232877,74.6599008
Vapi,Gujarat,20.3735482,79.4231711
Sirsa,Haryana,29.6063041,74.8787496
Manesar,Haryana,28.3247096,78.8216861
Sonipat,Haryana,28.9953758,81.7804732
Dharuhera,Haryana,28.2055216,77.3592238
Bahadurgarh,Haryana,28.6609648,76.770421
Yamuna Nagar,Haryana,19.1481254,93.709712
Bhiwani,Haryana,28.7931703,76.1391283
Karnal,Haryana,29.7255766,78.8216861
Palwal ,Haryana,#N/A,93.709712
Ambala,Haryana,30.3843674,76.770421
Narnaul,Haryana,28.0438456,76.5907017
Fatehabad,Haryana,29.5359209,75.5752901
Mandikhera,Haryana,27.897075,80.2610181
Jind,Haryana,29.3152073,76.2989276
Hisar,Haryana,29.2396596,77.401989
Ballabgarh,Haryana,28.2940728,77.3592238
Kaithal,Haryana,29.7996588,86.4309638
Faridabad,Haryana,28.4031478,76.7674001
Gurugram,Haryana,28.4646148,76.6821985
Baddi,Himachal Pradesh,30.9763026,77.6442962
Srinagar,Jammu and Kashmir,34.0747444,81.7804732
Dhanbad,Jharkhand,23.7952809,91.2823821
Shivamogga,Karnataka,13.9326093,78.4604956
Hubballi,Karnataka,15.3518378,77.890433
Kolar,Karnataka,13.1805066,75.3737973
Bengaluru,Karnataka,12.9767936,74.639
Chikkaballapur,Karnataka,13.0993764,77.388729
Kalaburagi,Karnataka,17.2408957,77.9743805
Mysuru,Karnataka,12.3041464,78.8216861
Yadgir,Karnataka,16.5744123,93.709712
Ramanagara,Karnataka,12.720006,81.7804732
Vijayapura,Karnataka,16.814415,79.4231711
Madikeri,Karnataka,12.42149,78.1573628
Raichur,Karnataka,16.0547194,78.8216861
Koppal,Karnataka,15.5748238,78.8216861
Gadag,Karnataka,15.416692,76.6821985
Haveri,Karnataka,14.7180267,79.0032253
Mangalore,Karnataka,12.8698101,76.2989276
Davanagere,Karnataka,14.2558835,75.8303421
Belgaum,Karnataka,15.8572666,74.5069343
Dharwad,Karnataka,15.3707296,76.2940408
Eloor,Kerala,10.0669964,76.2989276
Thiruvananthapuram,Kerala,8.4882267,93.709712
Kochi,Kerala,9.9679032,78.8216861
Kannur,Kerala,11.8763836,78.8216861
Kollam,Kerala,8.8870815,79.5045475
Thrissur,Kerala,10.5270099,81.7804732
Gwalior,Madhya Pradesh,26.2037247,79.4047452
Ujjain,Madhya Pradesh,23.1885131,79.4231711
Singrauli,Madhya Pradesh,24.2431343,78.4604956
Pithampur,Madhya Pradesh,22.6105576,78.8216861
Mandideep,Madhya Pradesh,23.093838,78.8216861
Dewas,Madhya Pradesh,22.8057498,79.4047452
Satna,Madhya Pradesh,24.6954445,81.7804732
Bhopal,Madhya Pradesh,23.2584857,77.401989
Indore,Madhya Pradesh,22.7203616,74.6599008
Jabalpur,Madhya Pradesh,23.1701522,79.0032253
Katni,Madhya Pradesh,23.7176393,78.8216861
Sagar,Madhya Pradesh,23.8083076,86.9746587
Mumbai,Maharashtra,19.054999,78.8216861
Chandrapur,Maharashtra,20.0967555,76.6821985
Pune,Maharashtra,18.5213738,78.8216861
Solapur,Maharashtra,17.8499067,81.7804732
